Year Local,Month Local,Cloud Ceiling (m) / Mean,Cloud Cover Fraction / Fraction Nan,Cloud Cover Fraction / Fraction Clr,Cloud Cover Fraction / Fraction Few,Cloud Cover Fraction / Fraction Sct,Cloud Cover Fraction / Fraction Bkn,Cloud Cover Fraction / Fraction Ovc,Cloud Cover Fraction / Median,Dew Point C / Mean Daily High,Dew Point C / Mean Daily Low,Humidity Fraction / Mean Daily High,Humidity Fraction / Mean Daily Low,Humidity Fraction / Mean,Precipitation One Hour (mm) / Mean,Precipitation One Hour (mm) / Sum,Weather Codes / Precipitation Count Per Day,Weather Codes / Drizzle Count Per Day,Weather Codes / Rain Slight Count Per Day,Weather Codes / Rain Moderate Count Per Day,Weather Codes / Rain Heavy Count Per Day,Weather Codes / Snow Slight Count Per Day,Weather Codes / Snow Moderate Count Per Day,Weather Codes / Snow Heavy Count Per Day,Weather Codes / Thunderstorm Count Per Day,Weather Code Most Severe / Icon Code,Pressure Altimeter (mbar) / Mean,Snow Depth (cm) / Mean,Temperature C / Mean Daily High,Temperature C / Mean Daily Low,Visibility (km) / Mean,Wind Direction (degrees) / Angular Mean,Wind Gust (m/s) / Max,Wind Speed (m/s) / High,Wind Speed (m/s) / Low,Wind Speed (m/s) / Mean
1993.0,1.0,1545.4,0,0.25,0.11,0.28,0.04,0.31,0.6,-5.6,-13.4,0.85,0.615,0.75,0.05,40.4,7.3,1.5,0.7,0,0,4.9,0.2,0.1,0,7,1021,8.5,-1.2,-10.1,11.7,292.3,16.9,7.252,2.006,4.7
1993.0,2.0,2993.9,0,0.26,0.11,0.26,0.04,0.33,0.68,-7.2,-13.5,0.845,0.577,0.72,0.05,31.7,4.5,0.1,0.3,0,0,3.8,0.2,0.1,0,7,1020.7,9.9,-1.7,-10.1,12.2,329.8,12.8,6.554,1.689,4.2
1993.0,3.0,1551.2,0,0.2,0.08,0.3,0.04,0.37,0.82,-1.5,-7.6,0.902,0.575,0.748,0.11,82.3,6.1,1.3,0.8,0.1,0,3.5,0.1,0.3,0,7,1018,9.3,3.8,-4.3,9.3,2.1,16.4,6.787,1.277,4.2
1993.0,4.0,2245,0,0.17,0.13,0.34,0.07,0.29,0.68,3.6,-2.8,0.883,0.471,0.68,0.18,130.4,5.4,0.5,3.2,0.2,0,1.3,0.1,0,0.1,2,1013.2,6.4,11.7,1.5,12.7,24.9,17.4,8.03,1.58,4.9
1993.0,5.0,2853.9,0,0.16,0.2,0.4,0.06,0.18,0.6,12.2,6,0.892,0.479,0.685,0.13,95.8,4.5,0.6,3,0.7,0,0,0,0,0.2,2,1013.7,,21.2,9.5,12.6,144.7,15.9,7.635,1.197,4.4
1993.0,6.0,2896.9,0,0.19,0.21,0.41,0.05,0.14,0.52,16.4,10.3,0.925,0.536,0.724,0.23,163.9,3.2,0.1,1.6,0.2,0,0,0,0,1.4,10,1014.2,,24.1,13.6,13,140.3,20,7.89,1.11,4.4
1993.0,7.0,2872.8,0,0.15,0.24,0.46,0.07,0.08,0.5,19.9,15,0.927,0.582,0.764,0.31,228.9,2.6,0,1.3,0.3,0,0,0,0,0.9,0,1014.4,,27,17.4,13.2,177.4,19.5,6.658,0.742,3.8
1993.0,8.0,3720.1,0,0.18,0.27,0.41,0.06,0.09,0.5,19.2,14.9,0.924,0.54,0.749,0.18,132.6,1.8,0.1,1,0.2,0,0,0,0,0.5,0,1016.3,,27.3,17.1,12.4,218.3,15.4,5.874,0.597,3.3
1993.0,9.0,2564.8,0,0.17,0.21,0.4,0.05,0.17,0.6,12.4,6.3,0.919,0.559,0.762,0.12,84.1,3.4,0.7,2.1,0.4,0,0,0,0,0.3,2,1016.1,,18.9,8.7,13.1,284,14.9,6.97,0.8,3.8
1993.0,10.0,2768.8,0,0.33,0.17,0.31,0.05,0.15,0.5,5.7,-1.2,0.833,0.445,0.648,0.03,22.6,2.2,0,1.3,0.2,0,0.6,0,0,0.1,2,1015.6,1,14.8,3.4,14.3,254.7,15.9,7.639,1.432,4.4
1993.0,11.0,2269.2,0,0.13,0.14,0.28,0.04,0.41,0.75,0.6,-6.2,0.882,0.554,0.727,0.05,39,4.2,0.9,1.5,0.1,0,1.6,0.1,0.1,0,7,1016.9,1,6.1,-2.4,12.3,225.3,16.4,8.027,1.907,4.9
1993.0,12.0,1756.6,0,0.15,0.11,0.32,0.06,0.36,0.75,-3.8,-10.2,0.853,0.582,0.723,0.01,9.9,5.5,1.4,0.9,0.1,0,3.1,0,0,0,7,1015.6,1.4,0.3,-6.1,12.3,276.1,16.4,7.045,1.548,4.4
1994.0,1.0,1730,0,0.23,0.13,0.31,0.03,0.29,0.68,-11.9,-21.7,0.853,0.586,0.728,0.05,39.5,8.7,0.7,0,0,0,7.4,0.3,0.2,0,7,1020.9,19.8,-7.7,-17.9,11.3,336.7,14.4,6.703,1.348,4.1
1994.0,2.0,2766.3,0,0.28,0.15,0.34,0.05,0.18,0.55,-9.5,-17.6,0.85,0.524,0.703,0.11,71.1,6.1,0,0.7,0.1,0,4.6,0.6,0.1,0,7,1020,33.3,-3.4,-14.3,12.2,1.8,15.9,7.332,1.186,4.3
1994.0,3.0,2800.8,0,0.24,0.18,0.33,0.06,0.19,0.5,-1.3,-8,0.869,0.425,0.647,0.01,10.7,2.2,0.1,0.6,0.2,0,0.9,0.3,0,0.1,7,1014.5,7.6,7.6,-3.4,12.5,303.2,14.9,7.384,0.684,4.2
1994.0,4.0,3681.4,0,0.24,0.15,0.33,0.06,0.22,0.58,3.3,-4.7,0.795,0.343,0.55,0.08,59.1,2.9,0.4,1.1,0.1,0,0.4,0.2,0.1,0.5,2,1014.5,3.9,15.3,3.1,14.3,232.5,28.2,9.047,1.823,5.4
1994.0,5.0,4177.9,0,0.35,0.19,0.33,0.05,0.08,0.25,9.2,2.9,0.873,0.342,0.581,0.04,30.1,1.5,0.1,1.1,0.1,0,0,0,0,0.3,0,1016.3,3.5,22.1,7.1,14.5,261.2,14.4,7.148,0.681,3.8
1994.0,6.0,3800.4,0,0.18,0.27,0.41,0.06,0.08,0.5,16.4,11.1,0.877,0.42,0.643,0.18,127.1,2.7,0,1.1,0.5,0,0,0,0,1.1,10,1013.7,0,27.8,14.9,13.7,245.6,18,6.943,0.81,3.8
1994.0,7.0,3504.8,0,0.13,0.22,0.48,0.08,0.09,0.5,18.6,13.3,0.903,0.527,0.727,0.12,85.8,2.3,0.4,0.8,0.2,0,0,0,0,1,0,1014.7,,27.1,16.2,13.6,247.6,18.5,6.561,0.713,3.6
1994.0,8.0,2701.3,0,0.19,0.23,0.35,0.04,0.19,0.5,17.3,11.9,0.915,0.563,0.751,0.14,101.5,2.5,0.3,1.4,0.2,0,0,0,0,0.7,0,1017.2,,24.8,14,11.5,216.8,11.8,5.606,0.552,3.1
1994.0,9.0,2625.1,0,0.23,0.17,0.35,0.04,0.22,0.55,15.7,11,0.929,0.548,0.762,0.21,153.3,4,1.1,2.1,0.2,0,0,0,0,0.6,2,1016.8,,23.7,13.2,11.8,212.9,16.4,5.047,0.483,2.7
1994.0,10.0,2326.6,0,0.26,0.15,0.31,0.04,0.24,0.6,8.2,2.8,0.878,0.492,0.695,0.02,16.9,1.2,0.3,0.7,0.2,0,0,0,0,0.1,0,1017.2,,16.8,6.1,14.1,208.4,15.9,5.606,1.223,3.4
1994.0,11.0,2847,0,0.25,0.09,0.28,0.04,0.33,0.64,3.2,-3.9,0.86,0.544,0.716,0.1,71.2,3.8,0.7,2.1,0.2,0,0.7,0,0,0.1,2,1016,1,9.4,-0.1,13.3,228.1,20,7.913,1.923,5
1994.0,12.0,1521.7,0,0.21,0.09,0.24,0.06,0.4,0.75,-1.8,-8.6,0.906,0.628,0.789,0.04,26.5,3.7,0.3,0.2,0,0,2.4,0.8,0,0,7,1021.8,10.4,2.7,-6.1,10.5,234.5,12.3,6.042,0.919,3.6
